#Table 4 
#Results of the Tilted-ring Model of the H I Velocity Field of M33
#Note. i and PA are the adopted H I inclination and major-axis position angle and ${V}_{\mathrm{rot}}$ the resulting H I rotation curve with associated velocity uncertainties (see text for details).
#VERY IMP NOTE: table data did not go to center.  fit shown in figure 9 has velocity going to 0 at center, and looks like a reasonable extrapolation of i and PA is possible.  I added first row of table accordingly. 
#Radius	Radius	Vrot	Delta_Vrot	i	PA	
#(')	(kpc)	(kms)	(kms)	(deg)	(deg)	
0	0.0	0.0	2.4	53.1	201.3
2	0.5	42.0	2.4	53.2	201.3
4	1.0	58.8	1.5	53.3	201.3
6	1.5	69.4	0.4	53.4	201.3
8	2.0	79.3	4.0	53.5	201.3
10	2.4	86.7	1.8	53.6	201.3
12	2.9	91.4	3.1	53.7	201.3
14	3.4	94.2	4.8	53.8	201.3
16	3.9	96.5	5.5	53.9	201.3
18	4.4	99.8	3.9	54.0	201.3
20	4.9	102.1	1.7	54.1	201.3
22	5.4	103.6	0.4	54.2	201.3
24	5.9	105.9	0.7	54.3	201.3
26	6.4	105.7	1.7	54.4	201.3
28	6.8	106.8	2.2	54.5	201.3
30	7.3	107.3	3.0	54.6	201.3
32	7.8	108.3	4.0	54.7	198.8
34	8.3	109.7	4.0	54.8	195.4
36	8.8	112.0	4.8	54.9	192.0
38	9.3	116.1	2.2	55.0	188.7
40	9.8	117.2	2.5	55.1	185.3
42	10.3	116.5	6.5	55.2	181.9
44	10.8	115.7	8.1	55.3	178.5
46	11.2	117.4	8.2	55.4	175.2
48	11.7	116.8	8.9	55.5	174.2
50	12.2	115.7	9.6	55.6	173.8
52	12.7	115.1	7.7	55.7	173.4
54	13.2	117.1	5.1	55.8	172.9
56	13.7	118.2	3.2	55.9	172.5
58	14.2	118.4	1.4	56.0	172.1
60	14.7	118.2	1.8	56.1	171.6
62	15.1	117.5	2.4	56.2	171.2
64	15.6	119.6	0.8	56.3	170.8
66	16.1	118.6	1.5	56.4	170.3
68	16.6	122.6	0.5	56.5	169.9
70	17.1	124.1	2.9	56.6	169.5
72	17.6	125.0	2.2	56.7	169.0
74	18.1	125.5	2.5	56.8	168.6
76	18.6	125.2	8.1	56.9	168.2
78	19.1	122.0	9.8	57.0	167.7
80	19.5	120.4	8.5	57.1	167.3
82	20.0	114.0	26.6	57.2	166.8
84	20.5	110.0	34.6	57.3	166.4
86	21.0	98.7	27.4	57.5	166.0
88	21.5	100.1	33.4	57.6	165.5
90	22.0	104.3	35.2	57.7	165.1
92	22.5	101.2	27.4	57.8	164.7
94	23.0	123.5	39.1	57.8	164.3
96	23.5	115.3	26.7	57.9	163.8

